18:25:48.328 | INFO | LOGIC | Warming up data feeds...
18:25:48.340 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
18:25:48.434 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
18:25:52.668 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
18:25:52.669 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
18:25:52.669 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
18:25:52.669 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
18:25:52.674 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
18:25:52.674 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
18:25:52.674 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
18:25:53.672 | INFO | LOGIC | Feeds successfully warmed up.
18:25:53.672 | INFO | LOGIC | Attempting to load quote generator: sandbox
18:25:53.674 | INFO | LOGIC | Starting 'sandbox' strategy on kPEPE...
18:25:53.674 | INFO | LOGIC | monitor task started for hyperliquid
18:25:53.674 | INFO | LOGIC | position executor task started for hyperliquid
18:25:54.449 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007383, size=5801.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007394, size=5801.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007367, size=7734.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.00741, size=7734.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001))]
18:25:57.529 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:00.531 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:03.533 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:06.535 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:09.536 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:12.538 | INFO | HYPERLIQUID.OMS | sending following orders: []
18:26:15.540 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007384, size=5799.0, orderId=None, clientOrderId=0x00000000000000000000000000989688 (10000008)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007396, size=5799.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676978 (-10000008))]
18:26:18.790 | INFO | HYPERLIQUID.OMS | sending following orders: []
