20:36:24.054 | INFO | LOGIC | Warming up data feeds...
20:36:24.065 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
20:36:24.153 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
20:36:28.254 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
20:36:28.254 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
20:36:28.255 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
20:36:28.255 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
20:36:28.259 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
20:36:28.259 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
20:36:28.260 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
20:36:29.207 | INFO | LOGIC | Feeds successfully warmed up.
20:36:29.207 | INFO | LOGIC | Attempting to load quote generator: sandbox
20:36:29.209 | INFO | LOGIC | Starting 'sandbox' strategy on WIF...
20:36:29.209 | INFO | LOGIC | monitor task started for hyperliquid
20:36:29.209 | INFO | LOGIC | position executor task started for hyperliquid
20:36:29.952 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5501, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5525, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001))]
20:36:33.008 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5498, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989682 (10000002)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5523, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697e (-10000002))]
20:36:36.226 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.549, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989683 (10000003)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5514, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697d (-10000003))]
20:36:39.472 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5487, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989684 (10000004)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5512, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697c (-10000004))]
20:36:42.532 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5492, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989685 (10000005)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5516, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697b (-10000005))]
20:36:45.771 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5493, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989686 (10000006)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5517, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697a (-10000006))]
20:36:48.825 | INFO | HYPERLIQUID.OMS | sending following orders: []
20:36:51.828 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5491, size=32.0, orderId=None, clientOrderId=0x00000000000000000000000000989688 (10000008))]
20:36:54.927 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5515, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676977 (-10000009))]
20:36:57.975 | INFO | HYPERLIQUID.OMS | sending following orders: []
20:37:00.977 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5494, size=32.0, orderId=None, clientOrderId=0x0000000000000000000000000098968b (10000011)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5519, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676975 (-10000011))]
20:37:04.176 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5491, size=32.0, orderId=None, clientOrderId=0x0000000000000000000000000098968c (10000012)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5515, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676974 (-10000012))]
20:37:07.399 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5489, size=32.0, orderId=None, clientOrderId=0x0000000000000000000000000098968d (10000013)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5513, size=32.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676973 (-10000013))]
