17:49:07.487 | INFO | LOGIC | Warming up data feeds...
17:49:07.498 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
17:49:11.651 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
17:49:11.651 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
17:49:11.652 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
17:49:11.652 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
17:49:11.657 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
17:49:11.657 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
17:49:11.657 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
17:49:11.660 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
17:49:12.657 | INFO | LOGIC | Feeds successfully warmed up.
17:49:12.658 | INFO | LOGIC | Attempting to load quote generator: sandbox
17:49:12.659 | INFO | LOGIC | Starting 'sandbox' strategy on kPEPE...
17:49:13.402 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007358, size=5819.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007373, size=5819.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007332, size=7758.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007398, size=7758.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001))]
17:49:16.498 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007359, size=5818.0, orderId=None, clientOrderId=0x00000000000000000000000000989682 (10000002)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007374, size=5818.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697e (-10000002))]
17:49:19.748 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.00736, size=5817.0, orderId=None, clientOrderId=0x00000000000000000000000000989683 (10000003)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007375, size=5817.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697d (-10000003))]
17:49:22.958 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:25.961 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007362, size=5815.0, orderId=None, clientOrderId=0x00000000000000000000000000989685 (10000005)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007377, size=5815.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697b (-10000005)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007336, size=7754.0, orderId=None, clientOrderId=0x00000000000000000000000001312d05 (20000005)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007402, size=7754.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fb (-20000005))]
17:49:29.232 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007363, size=5815.0, orderId=None, clientOrderId=0x00000000000000000000000000989686 (10000006)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007378, size=5815.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697a (-10000006))]
17:49:32.448 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:35.450 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:38.452 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:41.454 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:44.456 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:47.457 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:50.459 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007364, size=5814.0, orderId=None, clientOrderId=0x0000000000000000000000000098968d (10000013)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007379, size=5814.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676973 (-10000013))]
17:49:53.713 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:56.715 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:49:59.391 | CRITICAL | MM | Process manually interupted by user...
17:49:59.391 | CRITICAL | MM | Starting shutdown sequence...
17:49:59.460 | INFO | hyperliquid.EXCH | Shutdown sequence complete.
17:49:59.460 | INFO | MM | Goodnight...
