17:56:50.967 | INFO | LOGIC | Warming up data feeds...
17:56:50.978 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
17:56:55.179 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
17:56:55.179 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
17:56:55.180 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
17:56:55.180 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
17:56:55.182 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
17:56:55.183 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
17:56:55.183 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
17:56:55.186 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
17:56:56.182 | INFO | LOGIC | Feeds successfully warmed up.
17:56:56.182 | INFO | LOGIC | Attempting to load quote generator: sandbox
17:56:56.184 | INFO | LOGIC | Starting 'sandbox' strategy on kPEPE...
17:56:56.184 | INFO | LOGIC | monitor task started for hyperliquid
17:56:56.184 | INFO | LOGIC | position executor task started for hyperliquid
17:56:56.954 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007383, size=5799.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007397, size=5799.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007357, size=7732.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007423, size=7732.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001))]
17:57:00.190 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007381, size=5801.0, orderId=None, clientOrderId=0x00000000000000000000000000989682 (10000002)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007396, size=5801.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697e (-10000002))]
17:57:03.424 | INFO | HYPERLIQUID.OMS | sending following orders: []
17:57:06.426 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007379, size=5802.0, orderId=None, clientOrderId=0x00000000000000000000000000989684 (10000004)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007393, size=5802.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697c (-10000004)), Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.007353, size=7737.0, orderId=None, clientOrderId=0x00000000000000000000000001312d04 (20000004)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007419, size=7737.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fc (-20000004))]
17:57:09.690 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=1, orderType=0, timeInForce=2, price=0.00738, size=5801.0, orderId=None, clientOrderId=0x00000000000000000000000000989685 (10000005)), Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007395, size=5801.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697b (-10000005))]
17:57:12.933 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007394, size=5802.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697a (-10000006))]
17:57:16.155 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=kPEPE, side=-1, orderType=0, timeInForce=2, price=0.007395, size=5801.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff676979 (-10000007))]
