18:20:57.576 | INFO | LOGIC | Warming up data feeds...
18:20:57.587 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
18:20:57.682 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
18:20:57.683 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
18:20:57.683 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
18:21:01.887 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
18:21:01.887 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
18:21:01.896 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
18:21:01.896 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
18:21:01.897 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
18:21:02.891 | INFO | LOGIC | Feeds successfully warmed up.
18:21:02.891 | INFO | LOGIC | Attempting to load quote generator: sandbox
18:21:02.893 | INFO | LOGIC | Starting 'sandbox' strategy on POPCAT...
18:21:02.893 | INFO | LOGIC | monitor task started for hyperliquid
18:21:02.893 | INFO | LOGIC | position executor task started for hyperliquid
18:21:03.676 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.65651, size=65.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65751, size=65.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001)), Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.6551, size=87.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65892, size=87.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001))]
18:21:03.827 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.6551, size=87.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001): (False, {'error': 'Insufficient margin to place order. asset=128'})
18:21:03.827 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65892, size=87.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001): (False, {'error': 'Insufficient margin to place order. asset=128'})
18:21:06.829 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.65631, size=65.0, orderId=None, clientOrderId=0x00000000000000000000000000989682 (10000002)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65731, size=65.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697e (-10000002)), Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.6549, size=87.0, orderId=None, clientOrderId=0x00000000000000000000000001312d02 (20000002)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65872, size=87.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fe (-20000002))]
18:21:10.027 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.65611, size=65.0, orderId=None, clientOrderId=0x00000000000000000000000000989683 (10000003)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.6571, size=65.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697d (-10000003)), Order(symbol=POPCAT, side=1, orderType=0, timeInForce=2, price=0.65469, size=87.0, orderId=None, clientOrderId=0x00000000000000000000000001312d03 (20000003)), Order(symbol=POPCAT, side=-1, orderType=0, timeInForce=2, price=0.65852, size=87.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fd (-20000003))]
