17:19:33.329 | INFO | LOGIC | Warming up data feeds...
17:19:33.330 | DEBUG | hyperliquid.EXCH | payload sent: {'type': 'metaAndAssetCtxs'}
17:19:33.335 | DEBUG | hyperliquid.EXCH | payload sent: {'type': 'l2Book', 'coin': 'kPEPE'}
17:19:33.335 | DEBUG | hyperliquid.EXCH | payload sent: {'type': 'candleSnapshot', 'req': {'coin': 'kPEPE', 'interval': '1m', 'startTime': 1725861573335, 'endTime': 1726161573335}}
17:19:33.337 | DEBUG | hyperliquid.EXCH | payload sent: {'type': 'metaAndAssetCtxs'}
17:19:33.340 | DEBUG | hyperliquid.EXCH | payload sent: {'type': 'clearinghouseState', 'user': '0x4e9811745210b771750B7697c6C72A03208Bae1f'}
17:19:33.342 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
17:19:33.426 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'trades', 'coin': 'kPEPE'}}
17:19:33.427 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'l2Book', 'coin': 'kPEPE'}}
17:19:33.427 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'candle', 'coin': 'kPEPE', 'interval': '1m'}}
17:19:33.427 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'webData2', 'user': '0x4e9811745210b771750B7697c6C72A03208Bae1f'}}
17:19:33.428 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'activeAssetCtx', 'coin': 'kPEPE'}}
17:19:33.428 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'userFills', 'user': '0x4e9811745210b771750B7697c6C72A03208Bae1f'}}
17:19:33.428 | DEBUG | HYPERLIQUID.WS | Sending public ws payload: {'method': 'subscribe', 'subscription': {'type': 'orderUpdates', 'user': '0x4e9811745210b771750B7697c6C72A03208Bae1f'}}
17:19:37.443 | DEBUG | PositionHandler | Position BEFORE refresh: Position(symbol=kPEPE, side=None, price=None, size=0.0, uPnl=0.0, open time=None)
17:19:37.443 | DEBUG | PositionHandler | Position AFTER refresh: Position(symbol=kPEPE, side=None, price=None, size=0.0, uPnl=0.0, open time=None)
17:19:37.446 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
17:19:37.446 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
17:19:37.446 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
17:19:37.447 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
17:19:37.447 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
17:19:37.449 | DEBUG | PositionHandler | Position BEFORE process: Position(symbol=kPEPE, side=None, price=None, size=0.0, uPnl=0.0, open time=None)
17:19:37.449 | DEBUG | PositionHandler | Received webData2
17:19:37.450 | DEBUG | PositionHandler | Position AFTER process: Position(symbol=kPEPE, side=None, price=None, size=0.0, uPnl=0.0, open time=1726161577450)
17:19:37.450 | DEBUG | PositionHandler | Position neutralized, flag has been cleared
17:19:37.450 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
17:19:37.450 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
